,Method,RI,ARI,NMI,Purity,SmellingRI,SmellingARI,SmellingNMI,SmellingPurity
0,RAMClust,0.988813194,0.423146875,0.720239597,0.435128519,0.883981299,0.23732194,0.476715205,0.396153846
1,Louvain,0.77690162,0.214192152,0.287920731,0.511015912,0.81018981,0.535887757,0.460719608,0.803719008
2,Infomap,0.864070283,0.236741268,0.39128409,0.414320685,0.44494721,0.088373761,0.414643482,0.701754386
3,VOCluster-Louvain,0.742688439,0.0417057,0.318512856,0.506119951,0.963414634,0.836381776,0.528478415,0.556390977
4,VOCluster-Infomap,0.823523273,0.035448597,0.388758964,0.417380661,0.965079365,0.86717013,0.523250428,0.562962963
