,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
1566,607145.300433229,537694.729652339,572581.783741102,484206.817570314,493406.044230465,220900.545403853,178824.066743607,50640.9640795901,124702.523277483,321328.868458001,197648.096316351,742456.560367974,556023.220655582,152293.733098805,218172.479328063,99334.1510475848,22271.9178588866,14.9086666666667,89.04,0
436,2178875.84914237,1818252.30700714,1849514.12109815,1922329.66878664,2032430.42094728,717269.579414067,775078.759126946,219495.577309998,389539.402359007,1255716.13660014,1271368.04833833,2407177.53982051,1816148.46646095,477601.904617307,693994.807369991,464220.654107663,83726.7806380207,14.93475,150.05,0
92,427183.610844344,332786.352212888,350609.580204099,293639.667304549,362658.038683144,129956.279021139,155965.591123657,23045.6384765185,74446.8072211886,237675.384577821,245569.139465334,425840.547682613,303333.382905273,86649.8499384016,113899.850031249,91808.2064325383,18238.9277855616,14.9186666666667,109.05,0
1488,163868.307727613,142276.658359528,119505.338727549,126921.670996094,156876.718238248,51611.5795404282,38903.6289352413,17103.0301777571,27324.8041925835,95007.8493226394,81525.5751039789,162356.070404576,117218.242349111,35311.9524559379,47118.9051273454,35571.6447518256,8385.48243452935,14.9133333333333,78.05,0
1304,90771.3626193404,65059.8263744265,76188.2371926333,71286.8193215703,72886.0443259118,29722.9836430177,25953.7622020544,8792.73464688752,17367.7409707553,47241.5682083024,54109.13503624,98312.513043919,60556.3679240727,17987.6855271558,29870.5693916157,18864.8452108788,2118.36922200655,14.9224166666667,50.02,0
1380,87744.5869951164,113119.707283369,97753.1777949072,92341.8571320456,123325.011403203,49634.3284370005,34120.5843594901,14286.6123432999,28320.2288652264,81114.6810009599,87404.8972485378,165540.563765851,123892.097708821,33477.6313526183,47709.6280141771,31928.9100216031,4644.72185707986,14.9288333333333,63.02,0
1571,1531297.37121876,1342242.34715819,1357432.25463031,1493600.78205078,1699019.93121774,597280.22567959,565739.217025528,188306.758484224,188383.871051432,701593.882031246,925910.741443227,1611870.50880434,1275442.69608061,403139.206017941,583605.956979975,322428.818954382,83625.6678314587,14.9178333333333,90.04,0
