,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
1315,84632.6236683244,81207.9768164066,56490.5190573608,61077.6169042858,60881.7477980364,9200.07308906068,12308.6857443154,1974.26088855633,6340.9052990824,14285.1347511212,25287.5121207224,36037.7624859729,13759.2522256754,4109.37055576677,3351.65628194132,3309.13695003499,2073.16666435112,13.4713333333333,52.06,0
44,16093444.3731106,16142420.4535001,11451346.899661,12327491.5135479,10294358.1597322,3412845.49231162,5557497.42341918,1817037.75196964,2106015.66950685,4563229.78943939,4951577.48400115,6743632.01011818,3939271.83457035,1489688.35283549,1969829.45183136,1696936.82802522,427513.68814844,13.4713333333333,105.02,0
342,7939507.75619964,8068304.24641157,5500508.59493112,6021343.96990893,5272119.17577097,1545790.24910847,2484188.43611446,816096.633492193,933959.863916024,2044061.17484147,2241422.46408693,3107131.30852944,1761778.63582458,664850.203905037,885092.833383511,753254.939203198,177596.165258791,13.4713333333333,136.03,0
1370,50784.4452353915,26725.6486545974,25203.833203125,40438.4116635088,35239.9069071838,11628.9802495231,18593.4217764693,6047.75510394414,7005.22520390685,14688.3417779009,12582.9933311207,14064.1228124999,11054.3360690822,2947.00191379551,6227.27319424759,3166.54731738142,731.183878347012,13.4865,59.01,0
188,34270.6880911692,34303.9116987101,32613.8957845099,36414.2208230384,34264.0708404481,8625.32109430432,15576.9285835601,5305.62179874715,4458.3403793336,12706.6241057772,14717.1466196856,23836.6512337433,10815.0958665228,3180.35330541059,4111.43212972876,8061.67527098954,2050.57583121598,13.4706666666667,118.02,0
