,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
1587,2093389.26140038,1265173.49956056,1178479.15598354,526811.685974119,1497582.50235295,183028.402644233,296433.03995383,100172.048700023,74653.7146334143,824933.267142031,532552.208825207,1777855.05811511,635297.152972671,226495.572527292,221658.827208159,19711.9249863275,65492.4316018559,12.318,92.05,0
213,2689223.2957675,1698905.71357651,1371014.00321296,784088.256468755,1684883.84984376,241821.875356441,283933.626064452,84947.425511718,137367.712374115,957874.781203132,916689.764296866,2046809.7550402,1025451.19333352,258316.12981608,242597.386944579,164862.827849551,8524.39934634561,12.3315,120.04,0
223,207733.254675779,141265.211453454,106239.16818034,55742.2125886613,125629.265164621,17637.3466623535,20752.5388207684,8717.94230706245,11933.7642607348,68020.5323278801,74851.2837713622,162763.766521663,81521.8812503798,19970.7172087133,14355.6255267871,19777.6594690561,5590.36127587482,12.3195,121.04,0
1559,15363.6533813551,8128.28983886731,5960.10479040071,4261.10084089637,11697.6917135477,1092.98716098815,1793.92428213451,530.062944170088,942.129667016678,5240.505310826,5715.24449551664,13510.1893571019,3226.44323564008,900.095098994672,1487.22708941158,1381.76455181837,262.839855604572,12.318,87.02,0
187,12490.3784132498,9254.06810637563,5765.57907781936,4373.6624007225,8805.10017758831,1932.27775709885,461.269269976113,512.100247156446,241.867720865179,4470.16222303869,4778.60444484875,9359.42296371456,6162.16590882931,1809.42335395496,2014.09461035159,1250.98750624582,256.437412420796,12.3315,118.04,0
