,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
1515,127527.845888601,96525.0830233842,117202.768157621,61498.0057637944,45298.7475331559,49773.8731215766,31807.1737278912,22256.9958884194,51763.9249005914,166257.292733328,459327.54056082,128175.160101561,165039.011675527,49884.9433658043,39644.4063838382,71011.4474497714,23757.6133035357,11.268,82.07,0
1395,143830.398363648,58896.6211428224,136227.408645287,63309.758030103,68402.8438889732,54251.6111112833,34111.6156113398,20808.940322578,61567.5544880703,224996.334508405,636539.423634907,140317.349026443,146252.557519532,60553.1690780818,34791.8325290196,66568.2302587896,13231.4694044848,11.2675833333333,67.04,0
89,1711.09623713419,1668.78473882874,1405.82818966048,1859.05169096134,1080.94430447841,884.344750377556,736.325310340875,649.862437892519,825.594443156074,2156.82230401617,7804.39365966494,1398.01778669875,2637.54980642845,1027.20081157722,1194.99268221555,1647.84691922646,226.453052790991,9.30491666666667,108.05,0
1507,15347.2302474609,15894.6618951062,13522.4263709044,11116.3302641147,4887.57784397671,5707.9281990041,5496.84964205711,6258.99302916458,7432.79005049226,33488.4855789181,70621.8224769716,34412.6999411606,19452.8905273493,12273.431358256,4687.74992198125,12023.3211932704,3453.10957900034,11.271,81.06,0
1322,11560.500788928,8735.1893341681,7145.42076879553,5818.58165985346,3936.65656610858,3827.57589812173,2931.54307454033,2636.7093199119,4298.18907123833,20834.8602125732,28952.6720123294,14410.6631778354,8391.19868736186,4738.97397860636,2571.37838841882,7172.09696473321,3273.36664482858,11.2733333333333,54.05,0
1276,150050.317437743,139802.312688543,30880.462088982,67041.9719270833,75850.986424395,46174.0972919176,54852.2760033378,35203.3652327146,17659.1513172498,242715.132475842,602717.42777343,277697.865161258,168236.852140924,46457.9092890628,33851.4782552092,277832.957919033,34976.9568542907,11.2696666666667,43.06,0
1392,939.122425696626,939.742318707705,478.313481982239,549.001162746642,422.902800278272,674.872424679436,446.434391228482,383.315860272245,953.007425438846,1847.49499225728,3406.4624019539,1574.32502827644,465.352395812303,279.731549362978,534.583312100451,400.358992227633,402.125174097547,9.2935,65.04,0
