,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
331,612840.703757817,631442.247679958,446328.737365727,467276.63676453,377090.760750003,114023.843398626,182106.13510045,44756.3847061161,70472.3267118598,148870.94707718,175487.866355898,208810.012140626,129224.530897523,49446.1339818779,38923.7074485084,58005.9644219831,14199.1225627927,13.47925,135.05,0
197,70448.6959300719,60636.8941448105,47571.458548855,40165.2856750498,46929.1658850908,13566.2289073821,21114.0564259761,6897.36459497114,6710.66293643477,18495.1354216319,11746.0010659791,15540.9623651593,2083.56513264974,4321.71838417785,7115.12762478299,5119.51757102934,959.469893902244,13.4596666666667,119.01,0
61,1339230.77094728,1423248.43801932,1002387.47962087,1025524.36765138,873420.005954601,233873.343934153,378469.026289495,128122.262469556,160988.526123048,303960.727388766,372253.016551341,529064.05555013,246637.161650392,78821.573880387,156934.307641454,136127.912087968,33798.5198825789,13.4715,106.02,0
1588,386142.610546878,426997.33665097,280376.899236779,383566.511942306,341756.479007749,94670.6540855362,155264.642105492,51987.3671068549,58778.5950573206,98022.2552285171,143356.611910492,164439.919097324,113141.237682045,41549.9222511451,41554.5716350455,49431.2186888345,12335.2102275591,13.4713333333333,92.05,0
1475,4850004.87125028,6024761.39025016,3384547.99839848,3727997.02178035,4892056.12953186,1282753.76676185,1941337.67058328,711671.424207593,802273.383356589,1895119.21562501,1704526.27227713,2558836.52354782,1179310.23902346,631986.60068676,671803.277726546,654498.718847662,158723.841903985,13.47875,77.03,0
1487,435152.414156339,497262.061289066,386343.920930652,325340.348320312,308003.214943707,69378.6249433588,171412.963456734,52354.036236299,65828.7235457471,142699.015304737,112669.463945202,224221.650790204,16066.499214311,45899.6824000832,65208.877289068,53900.1113190748,14550.0659150059,13.4715,78.04,0
214,21228.9584943344,31013.976678744,9254.04713978166,22361.6721014621,19479.7480465093,4295.5409666701,9308.15528379101,3123.38255491179,3609.65665905665,7241.46832949496,7420.27843378427,12760.9100158015,7047.13033489883,1533.38402008953,2960.1750372611,2142.1417807337,400.771437268704,13.48675,119.99,0
