,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
23,24592.2933654787,20927.4711294321,10524.2284909971,18459.5966793119,26908.8613569258,4524.67400386557,4469.00769824628,798.417395839468,2050.77290232565,8509.80591895773,13246.8588790484,41359.1789246202,13888.3352770993,4670.01544769853,3496.9921797514,2326.61634748639,356.374495565581,13.8604166666667,103.04,0
236,530938.971364542,382969.107756749,161462.763848878,296260.976761478,519223.517191402,45176.690980009,51078.155773136,14391.4182083909,37473.953637266,125198.120925861,145559.300283205,528908.42448119,290440.569085935,38594.8398877466,73265.0649973319,32135.9522144172,6481.67264725296,13.8714166666667,122.06,0
1577,1324350.59996556,834362.232740191,532065.257153325,939211.174693629,1519823.27379448,163150.454102084,156425.856141382,44770.0598721628,114068.710179303,239910.468960937,528363.178873221,1516310.9892087,553268.345659174,186581.986562192,211796.000010256,95644.7011826336,18871.2292316375,13.8675,91.04,0
1589,917582.222899983,673895.027090601,314308.356263127,504940.41721737,925256.768840624,107022.215632862,91450.1934581399,15037.1915668946,67692.2001281753,224642.370262188,315473.975213541,755833.789081686,460541.705841055,111893.703756775,127751.326479739,31677.3978102801,11690.707935461,13.8636666666667,92.05,0
