,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
44,16093444.3731106,16142420.4535001,11451346.899661,12327491.5135479,10294358.1597322,3412845.49231162,5557497.42341918,1817037.75196964,2106015.66950685,4563229.78943939,4951577.48400115,6743632.01011818,3939271.83457035,1489688.35283549,1969829.45183136,1696936.82802522,427513.68814844,13.4713333333333,105.02,1
61,1339230.77094728,1423248.43801932,1002387.47962087,1025524.36765138,873420.005954601,233873.343934153,378469.026289495,128122.262469556,160988.526123048,303960.727388766,372253.016551341,529064.05555013,246637.161650392,78821.573880387,156934.307641454,136127.912087968,33798.5198825789,13.4715,106.02,1
188,34270.6880911692,34303.9116987101,32613.8957845099,36414.2208230384,34264.0708404481,8625.32109430432,15576.9285835601,5305.62179874715,4458.3403793336,12706.6241057772,14717.1466196856,23836.6512337433,10815.0958665228,3180.35330541059,4111.43212972876,8061.67527098954,2050.57583121598,13.4706666666667,118.02,1
214,21228.9584943344,31013.976678744,9254.04713978166,22361.6721014621,19479.7480465093,4295.5409666701,9308.15528379101,3123.38255491179,3609.65665905665,7241.46832949496,7420.27843378427,12760.9100158015,7047.13033489883,1533.38402008953,2960.1750372611,2142.1417807337,400.771437268704,13.48675,119.99,1
342,7939507.75619964,8068304.24641157,5500508.59493112,6021343.96990893,5272119.17577097,1545790.24910847,2484188.43611446,816096.633492193,933959.863916024,2044061.17484147,2241422.46408693,3107131.30852944,1761778.63582458,664850.203905037,885092.833383511,753254.939203198,177596.165258791,13.4713333333333,136.03,1
1310,1885488.92504884,1945345.03018231,1214346.25303487,1449472.35478402,1213139.35001563,353579.091623678,561724.213476567,189886.113844514,188311.864825998,372486.362072757,504516.578096594,544176.144592646,425516.705270423,151907.888917736,155493.493882212,135046.092782594,38304.2711970732,13.4750833333333,51.03,1
1315,84632.6236683244,81207.9768164066,56490.5190573608,61077.6169042858,60881.7477980364,9200.07308906068,12308.6857443154,1974.26088855633,6340.9052990824,14285.1347511212,25287.5121207224,36037.7624859729,13759.2522256754,4109.37055576677,3351.65628194132,3309.13695003499,2073.16666435112,13.4713333333333,52.06,1
1370,50784.4452353915,26725.6486545974,25203.833203125,40438.4116635088,35239.9069071838,11628.9802495231,18593.4217764693,6047.75510394414,7005.22520390685,14688.3417779009,12582.9933311207,14064.1228124999,11054.3360690822,2947.00191379551,6227.27319424759,3166.54731738142,731.183878347012,13.4865,59.01,1
1487,435152.414156339,497262.061289066,386343.920930652,325340.348320312,308003.214943707,69378.6249433588,171412.963456734,52354.036236299,65828.7235457471,142699.015304737,112669.463945202,224221.650790204,16066.499214311,45899.6824000832,65208.877289068,53900.1113190748,14550.0659150059,13.4715,78.04,1
