,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
225,24487.3572391452,24223.4737500002,22776.5003335662,8084.79158477778,10893.2649596587,3997.56917247735,1162.14243352879,209.013935351744,1534.38731655478,3313.16577685552,9211.01528620697,17671.0379460454,8951.92858838104,3114.50855900159,1606.51845451328,1928.9453242044,600.483830785146,13.7468333333333,121.07,0
1257,210703.024047159,228807.403747561,191730.040975674,58506.9293782392,54294.215309753,36359.4667129272,5797.14679139001,4707.61193294131,36746.5458126391,85511.5437744148,68082.7012272143,125090.908701172,62914.4018313426,8377.21407986948,16671.8169938714,14494.6605270734,6600.35307565446,13.7468333333333,41.06,0
1409,616496.516207898,532071.374254259,569560.599476566,212672.190938234,211959.198243964,99685.4746398935,38640.0005085729,7410.46535455156,32672.3501428501,210081.949309305,202767.314823094,352901.305033054,203582.254313916,76229.9972224414,57265.1521692395,46733.814445311,25478.0383345537,13.7484166666667,69.07,0
