,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
170,291.283020811954,0.0,189.145346325357,213.587131828099,268.579702617601,90.5196606213493,157.048660203316,138.318957243514,287.674641782884,318.691609618919,1454.09648250578,276.208725677494,161.781540663913,285.448762890883,268.974125302397,342.798227337854,0.0,26.7655,115.02,1
495,477.900280075082,302.144136050716,179.523699780616,115.093792339321,25.4645699610701,20.1310671343817,6.76057435623079,13.2030442749771,16.0698111489182,188.537009644904,785.720772631466,286.761331961206,103.900534014101,8.32331828708346,7.01973462799409,59.950748000294,0.0,26.648,157.07,1
582,1407.74405424197,797.079552142415,359.229293713967,143.92313336321,151.759158879519,9.43505759059917,34.8093683821692,43.4999934172762,89.7277427713076,697.038047685055,1289.14000914851,578.077066001133,356.715245636879,201.644523736458,101.776615990947,313.14797887858,74.3159761405259,26.672,171.1,1
661,2036.95408302173,1895.12090218239,1868.75743633831,621.355316206598,225.717428705225,129.532759751659,64.2631050175629,59.0360604334766,260.583500732453,844.810058500618,4222.64390867547,809.964728360208,263.785488380433,151.094718618032,106.88358706175,480.830665380031,5.23715375398751,26.6486666666667,185.11,1
662,33.0013172850013,44.0029288354369,37.2119569712702,5.96024395046098,7.67993162683321,43.6068364953869,12.1913397037424,31.0279352490256,22.1001882741556,89.0004617913681,192.176451820415,105.908480070066,26.20481369176,26.1736420964521,11.3313930408262,50.6465774363217,28.4128744059297,28.151,185.08,1
812,3208.15051705174,4330.09955627772,2903.28722434994,1002.04579538007,403.768185136258,230.913839119988,74.4893133738436,13.9034047455061,509.741365852346,559.557524719292,8909.99611662112,1944.50804051971,1209.20503273606,997.030037758542,286.421033539165,750.038700071701,47.9728310564712,26.6481666666667,211.2,1
821,258.322987440974,238.000320304185,126.239812079351,145.492587406343,46.9759621918201,32.4213163468521,6.60578651563264,8.66254606736558,8.08726191831132,42.3401236481344,1440.57569474867,286.133009883708,170.30364832016,123.721472946661,7.33417570963502,120.013640008867,0.0,26.648,212.18,1
890,86.4251245869897,70.8105397081235,7.27026566552619,27.2608753649984,7.35517647082452,6.52312005707063,14.6027974525932,10.0768560224043,36.6329321379017,88.2356326614584,313.428985824576,6.43143459326926,12.4681030914441,20.6129471512765,21.6335795281339,21.124500642065,0.0,26.648,227.22,1
893,7696.01015408624,6646.59675170388,4101.51191894547,2175.45417820512,825.112031247409,409.633564129472,419.95958049607,388.390935969979,706.012388365343,3477.70566618326,15984.9784765625,3998.37861595443,2456.26776112802,1413.35140917616,803.821359070891,2308.31702677067,215.217476182501,26.6560833333333,228.19,1
894,3427.56044643412,4156.12163555141,3811.63420172706,1143.89158602711,1070.65689108272,361.451440731684,293.968191712681,20.6604375398407,768.206448265119,2110.38881232113,8517.04965487408,3054.70251666494,1612.57267657723,1289.29327546433,580.53109863278,1856.84441312734,103.029139377901,26.656,229.19,1
1458,1110.24861591247,2200.02453835918,2053.13027847304,726.428631722927,355.286064698107,305.147928713863,165.994033379226,200.877341126007,124.412756557238,710.017039384947,4167.33293358558,1305.78279677711,750.869602227838,742.06106034497,302.17142613266,721.452009856532,217.398170217702,26.648,73.02,1
